sample,grain,repetition,band_410,band_435,band_460,band_485,band_510,band_535,band_560,band_585,band_610,band_645,band_680,band_705,band_730,band_760,band_810,band_860,band_900,band_940
3,milheto,3,0.264084,0.143516,0.184124,0,0.278005,0.323603,0.289634,0.319231,0.375454,0.365325,0.4278,0.415842,0.507812,0.514286,0.44898,0.546816,0.634146,0.692308
4,milheto,1,0.256082,0.140953,0.181056,0,0.269828,0.311143,0.307056,0.332692,0.387566,0.368421,0.421053,0.425743,0.488281,0.485714,0.459184,0.59176,0.634146,0.653846
4,milheto,2,0.260883,0.140953,0.183101,0,0.271872,0.316483,0.311411,0.336538,0.391603,0.374613,0.4278,0.425743,0.488281,0.514286,0.469388,0.599251,0.634146,0.653846
4,milheto,3,0.260883,0.140953,0.184124,0.305542,0.275961,0.320043,0.320122,0.340385,0.39564,0.374613,0.441296,0.435644,0.488281,0.514286,0.479592,0.602996,0.634146,0.653846
1,sorgo,1,0.292313,0.141916,0.170707,0.384316,0.230801,0.276596,0.266525,0.306279,0.389558,0.39441,0.499314,0.475248,0.54902,0.542857,0.49,0.63197,0.631579,0.653846
1,sorgo,2,0.292313,0.141916,0.168687,0,0.228758,0.27305,0.232409,0.271822,0.349398,0.36646,0.465021,0.415842,0.54902,0.542857,0.42,0.505576,0.605263,0.653846
1,sorgo,3,0.295543,0.141916,0.171717,0,0.230801,0.27305,0.257996,0.30245,0.383534,0.391304,0.485597,0.465347,0.54902,0.542857,0.47,0.594796,0.631579,0.653846
2,sorgo,1,0.290921,0.145557,0.173824,0,0.237705,0.277976,0.269397,0.304762,0.395424,0.39312,0.497297,0.475248,0.568627,0.542857,0.488798,0.622642,0.634146,0.653846
2,sorgo,2,0.290921,0.14811,0.178937,0,0.239754,0.288667,0.260776,0.300952,0.387395,0.39312,0.490541,0.475248,0.568627,0.571429,0.488798,0.607547,0.634146,0.653846
2,sorgo,3,0.292519,0.14811,0.176892,0.572249,0.239754,0.28154,0.260776,0.300952,0.387395,0.396192,0.504054,0.475248,0.568627,0.542857,0.488798,0.618868,0.634146,0.653846
3,sorgo,1,0.297315,0.150664,0.179959,0.577034,0.243852,0.285103,0.262931,0.299048,0.379366,0.383907,0.483784,0.465347,0.54902,0.542857,0.468432,0.577358,0.634146,0.653846
3,sorgo,2,0.298913,0.150664,0.182004,0,0.243852,0.279758,0.269397,0.306667,0.389402,0.390049,0.477027,0.475248,0.54902,0.542857,0.478615,0.596226,0.634146,0.692308
3,sorgo,3,0.298913,0.150664,0.184049,0,0.245902,0.285103,0.269397,0.308571,0.387395,0.39312,0.483784,0.465347,0.568627,0.542857,0.468432,0.581132,0.634146,0.653846
4,sorgo,1,0.292519,0.14811,0.176892,0,0.241803,0.283321,0.288793,0.325714,0.415496,0.408477,0.504054,0.504951,0.568627,0.571429,0.509165,0.630189,0.658537,0.653846
4,sorgo,2,0.294118,0.14811,0.177914,0.596172,0.245902,0.285103,0.267241,0.312381,0.397431,0.405405,0.490541,0.475248,0.568627,0.542857,0.478615,0.592453,0.658537,0.692308
4,sorgo,3,0.297315,0.150664,0.182004,0,0.25,0.294013,0.282328,0.32381,0.411481,0.41769,0.504054,0.49505,0.568627,0.571429,0.498982,0.626415,0.658537,0.692308
